Age,Gender,City,Device_Type,Payment_Method,Email,Test_Group,Campaign_Result
40,Male,Antalya,Tablet,Credit Card,millermichael@example.net,Test A,Failed
32,Female,Antalya,Tablet,Credit Card,sullivanjulie@example.com,Test A,Success
34,Male,Bursa,Desktop,Cash on Delivery,chapmanrobert@example.org,Test C,Failed
24,Female,Istanbul,Mobile,Digital Wallet,tsmith@example.net,Test B,Success
26,Female,Istanbul,Mobile,Credit Card,michaelporter@example.net,Test B,Success
26,Female,Istanbul,Mobile,Credit Card,cochoa@example.net,Test B,Success
39,Female,Antalya,Mobile,Credit Card,cochrantammy@example.org,Test A,Success
34,Male,Bursa,Desktop,Bank Transfer,zbeck@example.com,Test C,Failed
38,Female,Konya,Desktop,Cash on Delivery,qwarren@example.net,Test C,Failed
22,Female,Ankara,Mobile,Digital Wallet,irandall@example.net,Test B,Failed
36,Female,Konya,Desktop,Cash on Delivery,briancollins@example.net,Test C,Failed
37,Female,Antalya,Tablet,Credit Card,velliott@example.net,Test A,Failed
38,Male,Izmir,Tablet,Credit Card,kimberly74@example.com,Test A,Success
45,Male,Konya,Desktop,Cash on Delivery,christopher45@example.net,Test C,Failed
23,Female,Istanbul,Mobile,Credit Card,folsen@example.com,Test B,Success
35,Female,Antalya,Tablet,Credit Card,westamanda@example.org,Test A,Success
31,Female,Antalya,Mobile,Credit Card,davidshields@example.net,Test A,Success
37,Female,Izmir,Mobile,Credit Card,parkronald@example.com,Test A,Failed
37,Female,Antalya,Tablet,Credit Card,michelle08@example.com,Test A,Failed
33,Female,Konya,Desktop,Cash on Delivery,elucas@example.com,Test C,Failed
33,Male,Konya,Desktop,Bank Transfer,mariacosta@example.net,Test C,Failed
40,Female,Antalya,Tablet,Credit Card,theresa91@example.net,Test A,Failed
36,Female,Konya,Desktop,Cash on Delivery,roykayla@example.org,Test C,Failed
22,Female,Istanbul,Mobile,Digital Wallet,ohall@example.org,Test B,Failed
20,Female,Ankara,Mobile,Digital Wallet,kennethcooper@example.com,Test B,Success
38,Male,Antalya,Mobile,Credit Card,adamsjessica@example.com,Test A,Success
36,Female,Konya,Desktop,Cash on Delivery,hudsonjoseph@example.com,Test C,Failed
36,Female,Izmir,Tablet,Credit Card,richardschmidt@example.com,Test A,Success
20,Female,Ankara,Mobile,Credit Card,juliemontgomery@example.org,Test B,Success
21,Female,Ankara,Mobile,Digital Wallet,danny16@example.net,Test B,Success
42,Male,Konya,Desktop,Bank Transfer,ann58@example.com,Test C,Success
29,Female,Izmir,Mobile,Credit Card,richard97@example.com,Test A,Failed
31,Female,Antalya,Tablet,Credit Card,lhill@example.net,Test A,Success
21,Female,Ankara,Mobile,Digital Wallet,mmorris@example.net,Test B,Success
26,Female,Istanbul,Mobile,Credit Card,blackwellcharles@example.com,Test B,Success
20,Female,Istanbul,Mobile,Credit Card,tinarodriguez@example.net,Test B,Success
35,Female,Antalya,Tablet,Credit Card,michaelpeterson@example.org,Test A,Success
22,Female,Ankara,Mobile,Credit Card,laravicki@example.com,Test B,Success
23,Female,Istanbul,Mobile,Credit Card,sarah82@example.net,Test B,Failed
21,Female,Istanbul,Mobile,Digital Wallet,glennelizabeth@example.net,Test B,Success
35,Male,Izmir,Mobile,Credit Card,nadams@example.com,Test A,Success
38,Female,Izmir,Tablet,Credit Card,zacharygonzales@example.org,Test A,Success
26,Female,Ankara,Mobile,Digital Wallet,anne09@example.net,Test B,Success
33,Female,Bursa,Desktop,Bank Transfer,sandrawilson@example.net,Test C,Failed
36,Female,Bursa,Desktop,Bank Transfer,roberta00@example.net,Test C,Failed
37,Female,Antalya,Tablet,Credit Card,anichols@example.net,Test A,Failed
23,Female,Ankara,Mobile,Credit Card,mitchell53@example.net,Test B,Success
25,Female,Istanbul,Mobile,Credit Card,belindasilva@example.com,Test B,Success
39,Female,Antalya,Tablet,Credit Card,tinabray@example.net,Test A,Failed
28,Male,Antalya,Tablet,Credit Card,glenntony@example.com,Test A,Success
34,Male,Konya,Desktop,Bank Transfer,colleenhebert@example.net,Test C,Failed
45,Female,Konya,Desktop,Bank Transfer,danacharles@example.org,Test C,Failed
33,Male,Konya,Desktop,Cash on Delivery,sharonhendricks@example.org,Test C,Failed
21,Female,Istanbul,Mobile,Digital Wallet,tammy80@example.org,Test B,Failed
33,Female,Antalya,Mobile,Credit Card,frankreid@example.com,Test A,Failed
26,Female,Istanbul,Mobile,Credit Card,sheryl45@example.net,Test B,Success
34,Male,Bursa,Desktop,Cash on Delivery,robinswanson@example.net,Test C,Success
32,Male,Antalya,Mobile,Credit Card,robert59@example.com,Test A,Success
23,Female,Istanbul,Mobile,Digital Wallet,stephen40@example.net,Test B,Success
30,Male,Antalya,Mobile,Credit Card,hnelson@example.org,Test A,Success
23,Female,Istanbul,Mobile,Credit Card,ydavis@example.org,Test B,Success
40,Male,Konya,Desktop,Bank Transfer,carol44@example.com,Test C,Failed
36,Female,Bursa,Desktop,Bank Transfer,john42@example.org,Test C,Failed
22,Female,Istanbul,Mobile,Credit Card,sarah39@example.org,Test B,Success
22,Female,Ankara,Mobile,Credit Card,ibrown@example.net,Test B,Success
36,Female,Izmir,Tablet,Credit Card,poolemary@example.org,Test A,Success
31,Male,Antalya,Mobile,Credit Card,dkelley@example.org,Test A,Failed
42,Female,Bursa,Desktop,Cash on Delivery,shiggins@example.com,Test C,Failed
26,Female,Ankara,Mobile,Credit Card,anthonyelliott@example.org,Test B,Success
40,Male,Bursa,Desktop,Cash on Delivery,hardylaura@example.org,Test C,Success
40,Female,Bursa,Desktop,Bank Transfer,bdavis@example.net,Test C,Failed
22,Female,Ankara,Mobile,Credit Card,lopezelizabeth@example.com,Test B,Success
23,Female,Ankara,Mobile,Credit Card,amandaaguilar@example.com,Test B,Failed
38,Female,Izmir,Mobile,Credit Card,jennifer96@example.net,Test A,Failed
29,Female,Antalya,Tablet,Credit Card,cookwilliam@example.com,Test A,Success
34,Female,Antalya,Mobile,Credit Card,jesse22@example.com,Test A,Success
40,Male,Konya,Desktop,Bank Transfer,mary95@example.org,Test C,Failed
25,Female,Ankara,Mobile,Digital Wallet,kimberly72@example.net,Test B,Failed
36,Female,Izmir,Mobile,Credit Card,gcarlson@example.net,Test A,Success
35,Male,Izmir,Mobile,Credit Card,richardstephen@example.com,Test A,Success
22,Female,Ankara,Mobile,Digital Wallet,chamberscrystal@example.org,Test B,Success
22,Female,Ankara,Mobile,Digital Wallet,scottnathan@example.org,Test B,Success
23,Female,Ankara,Mobile,Digital Wallet,craneerica@example.com,Test B,Success
34,Female,Antalya,Mobile,Credit Card,douglas25@example.com,Test A,Success
42,Male,Bursa,Desktop,Bank Transfer,operez@example.org,Test C,Failed
24,Female,Istanbul,Mobile,Credit Card,garrett81@example.net,Test B,Success
20,Female,Ankara,Mobile,Digital Wallet,stevenwade@example.net,Test B,Success
23,Female,Ankara,Mobile,Credit Card,adamsjennifer@example.org,Test B,Success
40,Female,Antalya,Tablet,Credit Card,beckyfernandez@example.com,Test A,Failed
32,Female,Antalya,Mobile,Credit Card,jasonchambers@example.com,Test A,Success
36,Male,Konya,Desktop,Cash on Delivery,lbarker@example.org,Test C,Failed
45,Female,Bursa,Desktop,Bank Transfer,jimenezchristopher@example.com,Test C,Success
20,Female,Ankara,Mobile,Digital Wallet,daniellerivers@example.org,Test B,Success
24,Female,Istanbul,Mobile,Credit Card,michelewarren@example.com,Test B,Success
28,Female,Izmir,Mobile,Credit Card,emiller@example.com,Test A,Success
34,Female,Izmir,Mobile,Credit Card,fbowman@example.com,Test A,Failed
42,Female,Bursa,Desktop,Bank Transfer,joseph94@example.org,Test C,Success
36,Male,Antalya,Tablet,Credit Card,walkermary@example.net,Test A,Failed
41,Female,Bursa,Desktop,Cash on Delivery,hferguson@example.net,Test C,Failed
25,Female,Ankara,Mobile,Digital Wallet,pamelabarrett@example.org,Test B,Success
30,Female,Antalya,Mobile,Credit Card,timothy28@example.net,Test A,Success
24,Female,Ankara,Mobile,Digital Wallet,adiaz@example.org,Test B,Success
41,Female,Konya,Desktop,Cash on Delivery,reyesmelissa@example.net,Test C,Failed
40,Male,Konya,Desktop,Bank Transfer,diazashley@example.net,Test C,Failed
25,Female,Ankara,Mobile,Digital Wallet,glennsloan@example.org,Test B,Success
44,Male,Bursa,Desktop,Cash on Delivery,nicole28@example.com,Test C,Failed
25,Female,Ankara,Mobile,Digital Wallet,qjenkins@example.net,Test B,Success
37,Female,Izmir,Tablet,Credit Card,laurenwilson@example.org,Test A,Success
34,Male,Bursa,Desktop,Cash on Delivery,georgesanchez@example.com,Test C,Failed
31,Female,Izmir,Tablet,Credit Card,matthew19@example.org,Test A,Success
34,Female,Konya,Desktop,Cash on Delivery,nicholas09@example.org,Test C,Failed
39,Male,Bursa,Desktop,Cash on Delivery,holmesmegan@example.com,Test C,Failed
31,Female,Antalya,Mobile,Credit Card,gregoryharris@example.org,Test A,Success
21,Female,Ankara,Mobile,Credit Card,sharrison@example.com,Test B,Success
35,Male,Antalya,Tablet,Credit Card,jesse94@example.org,Test A,Success
29,Female,Izmir,Mobile,Credit Card,matthewhernandez@example.net,Test A,Success
29,Male,Antalya,Mobile,Credit Card,zstewart@example.com,Test A,Failed
35,Female,Izmir,Mobile,Credit Card,colesandra@example.net,Test A,Success
24,Female,Ankara,Mobile,Digital Wallet,sabrinaburns@example.com,Test B,Success
35,Female,Izmir,Mobile,Credit Card,carterjennifer@example.com,Test A,Success
36,Male,Izmir,Mobile,Credit Card,jenkinsrandall@example.net,Test A,Failed
28,Female,Izmir,Mobile,Credit Card,denisegonzalez@example.org,Test A,Failed
24,Female,Ankara,Mobile,Digital Wallet,williamallen@example.net,Test B,Success
33,Female,Antalya,Mobile,Credit Card,stephen62@example.org,Test A,Success
36,Male,Konya,Desktop,Cash on Delivery,vincent92@example.org,Test C,Failed
22,Female,Istanbul,Mobile,Digital Wallet,gbenton@example.org,Test B,Failed
28,Male,Izmir,Tablet,Credit Card,laurenkim@example.org,Test A,Failed
31,Female,Izmir,Tablet,Credit Card,flynnmark@example.net,Test A,Failed
38,Male,Izmir,Tablet,Credit Card,yrodriguez@example.net,Test A,Failed
36,Female,Izmir,Mobile,Credit Card,william55@example.org,Test A,Success
33,Female,Antalya,Tablet,Credit Card,sarah82@example.net,Test A,Success
21,Female,Istanbul,Mobile,Digital Wallet,jessicamalone@example.org,Test B,Success
40,Female,Izmir,Mobile,Credit Card,tylerriley@example.com,Test A,Success
36,Male,Konya,Desktop,Cash on Delivery,woodalexis@example.com,Test C,Failed
25,Female,Istanbul,Mobile,Digital Wallet,cbaker@example.net,Test B,Failed
38,Male,Bursa,Desktop,Cash on Delivery,lwest@example.com,Test C,Failed
31,Female,Izmir,Mobile,Credit Card,kyleayers@example.org,Test A,Success
33,Male,Konya,Desktop,Bank Transfer,nicholas85@example.org,Test C,Failed
37,Male,Konya,Desktop,Cash on Delivery,woodalexis@example.com,Test C,Failed
32,Male,Antalya,Mobile,Credit Card,meghanhumphrey@example.org,Test A,Success
21,Female,Istanbul,Mobile,Digital Wallet,powersmatthew@example.net,Test B,Success
30,Female,Izmir,Tablet,Credit Card,edwardsbrian@example.org,Test A,Success
44,Female,Konya,Desktop,Bank Transfer,obrown@example.net,Test C,Success
33,Male,Bursa,Desktop,Cash on Delivery,samuel40@example.net,Test C,Failed
38,Female,Konya,Desktop,Cash on Delivery,laravicki@example.com,Test C,Failed
37,Male,Izmir,Mobile,Credit Card,joann07@example.org,Test A,Success
30,Female,Antalya,Mobile,Credit Card,regina62@example.com,Test A,Success
43,Female,Konya,Desktop,Cash on Delivery,hjones@example.com,Test C,Failed
35,Female,Bursa,Desktop,Cash on Delivery,marvin64@example.net,Test C,Failed
33,Female,Konya,Desktop,Cash on Delivery,janet73@example.org,Test C,Failed
33,Male,Bursa,Desktop,Cash on Delivery,janet74@example.net,Test C,Failed
36,Male,Bursa,Desktop,Bank Transfer,elopez@example.com,Test C,Success
36,Female,Izmir,Mobile,Credit Card,scottcruz@example.net,Test A,Success
32,Female,Antalya,Mobile,Credit Card,lori30@example.com,Test A,Success
24,Female,Ankara,Mobile,Credit Card,jonesjacob@example.com,Test B,Success
20,Female,Istanbul,Mobile,Credit Card,kimberlyromero@example.net,Test B,Success
25,Female,Istanbul,Mobile,Credit Card,turnermark@example.net,Test B,Success
37,Female,Konya,Desktop,Cash on Delivery,elizabeth91@example.com,Test C,Failed
23,Female,Ankara,Mobile,Digital Wallet,thompsonbrian@example.net,Test B,Success
36,Male,Konya,Desktop,Bank Transfer,fieldstiffany@example.net,Test C,Success
42,Female,Konya,Desktop,Cash on Delivery,mayscarrie@example.net,Test C,Failed
36,Male,Konya,Desktop,Bank Transfer,tony16@example.com,Test C,Failed
33,Male,Izmir,Tablet,Credit Card,joshua45@example.org,Test A,Success
42,Male,Konya,Desktop,Cash on Delivery,vmartinez@example.com,Test C,Failed
38,Male,Bursa,Desktop,Cash on Delivery,rosekristin@example.org,Test C,Failed
35,Male,Antalya,Tablet,Credit Card,clifford78@example.org,Test A,Success
31,Female,Antalya,Mobile,Credit Card,jason41@example.org,Test A,Success
36,Male,Konya,Desktop,Bank Transfer,tylercastillo@example.org,Test C,Failed
34,Female,Antalya,Tablet,Credit Card,regina62@example.com,Test A,Success
24,Female,Istanbul,Mobile,Digital Wallet,berryzachary@example.com,Test B,Failed
37,Male,Izmir,Mobile,Credit Card,christophermacdonald@example.org,Test A,Success
44,Male,Konya,Desktop,Cash on Delivery,smaldonado@example.org,Test C,Failed
